,id,hours_type,mon_start,mon_end,mon_overnight,tues_start,tues_end,tues_overnight,wed_start,wed_end,wed_overnight,thurs_start,thurs_end,thurs_overnight,fri_start,fri_end,fri_overnight,sat_start,sat_end,sat_overnight,sun_start,sun_end,sun_overnight
301,fKRNzZM4XWlPiCPdjMUYNg,REGULAR,1600.0,200.0,True,1600.0,200.0,True,1600.0,200.0,True,1600.0,200.0,True,1200.0,200.0,True,1200.0,200.0,True,1200.0,200.0,True
303,t77sOZmbHMB6n3whAQT8MA,REGULAR,,,,1600.0,2300.0,False,1600.0,2300.0,False,1600.0,2300.0,False,1600.0,100.0,True,1100.0,100.0,True,,,
304,01_V3jriaILJvam7JVSFTg,REGULAR,1100.0,2300.0,False,1100.0,2300.0,False,1100.0,2300.0,False,1100.0,2300.0,False,1100.0,100.0,True,1000.0,100.0,True,1000.0,2300.0,False
309,MUA4S74hYjUGVtDNf8tj6w,REGULAR,1700.0,2300.0,False,1700.0,2300.0,False,1700.0,2300.0,False,1700.0,2300.0,False,1100.0,2300.0,False,1030.0,2300.0,False,1030.0,2200.0,False
310,lcarZ5Oj_pWYoENAEK2t8A,REGULAR,1130.0,100.0,True,1130.0,100.0,True,1130.0,100.0,True,1130.0,100.0,True,1130.0,200.0,True,1000.0,200.0,True,1000.0,100.0,True
312,UoAbVHm6A04avk-QIhiWYQ,REGULAR,900.0,200.0,True,900.0,200.0,True,900.0,200.0,True,900.0,200.0,True,900.0,200.0,True,900.0,200.0,True,1200.0,200.0,True
316,V-dVahKTe8d5ikGUvgXzzA,REGULAR,430.0,2030.0,False,430.0,2030.0,False,430.0,2030.0,False,430.0,2030.0,False,430.0,2030.0,False,430.0,2030.0,False,430.0,2030.0,False
320,8I275yw-PcoFgiXROgdFMA,REGULAR,,,,1600.0,2200.0,False,1600.0,2200.0,False,1600.0,2200.0,False,1600.0,2300.0,False,1200.0,2300.0,False,1200.0,2000.0,False
321,YGSacISAJEsEGrBKFwR0Gg,REGULAR,,,,1600.0,0.0,False,1600.0,0.0,False,1600.0,0.0,False,1600.0,0.0,False,1600.0,0.0,False,1600.0,0.0,False
323,9hTI2_9upvC5JI0oju1PtQ,REGULAR,1100.0,200.0,True,1100.0,200.0,True,1100.0,200.0,True,1100.0,200.0,True,1100.0,200.0,True,1100.0,200.0,True,1100.0,200.0,True
324,5Jm8du6LOoQGvGcaDuVj7w,REGULAR,1100.0,2300.0,False,1100.0,2300.0,False,1100.0,2300.0,False,1100.0,2300.0,False,1100.0,100.0,True,1100.0,100.0,True,1100.0,2300.0,False
325,fY2abIK1h4s6sUbgWu4bPQ,REGULAR,,,,1700.0,0.0,False,1700.0,0.0,False,1700.0,100.0,True,1700.0,100.0,True,1700.0,100.0,True,,,
