id,hours_type,mon_start,mon_end,mon_overnight,tues_start,tues_end,tues_overnight,wed_start,wed_end,wed_overnight,thurs_start,thurs_start,thurs_overnight,fri_start,fri_end,fri_overnight,sat_start,sat_end,sat_overnight,sun_start,sun_end,sun_overnight
V_6rG2oL56DVDIKPWnZ41A,REGULAR,,,,1700,2100,False,1700,2100,False,1700,2200,False,1700,2300,False,1130,2300,False,1130,2000,False
gvslXIfVWkVu12MjgdlZJg,REGULAR,1130,2100,False,1130,2100,False,1130,2100,False,1130,2200,False,1130,2200,False,1100,2200,False,1100,2100,False
3K13iIrTbHmV-qpvz8C7Ew,REGULAR,1600,2200,False,1600,2200,False,1600,2200,False,1600,2200,False,1600,2300,False,1600,2300,False,1600,2200,False
Svxkliw-2cfHifMK8EvkIQ,REGULAR,1600,0200,True,1600,0200,True,1600,0200,True,1600,0200,True,1600,0200,True,1600,0200,True,1600,0200,True
a17mI6DjjfWDL6dpZS6oBg,REGULAR,,,,,,,,,,1600,2300,False,1600,2300,False,1000,2300,False,0900,2300,False
V6IKFLo-rJdMRJEbuLLD3g,REGULAR,,,,1700,0000,False,1700,0000,False,1700,0000,False,1700,0000,False,1700,0000,False,1700,0000,False
V_79WoMIjev8LFMueFJudw,REGULAR,1000,0200,True,1000,0200,True,1000,0200,True,1000,0200,True,1000,0200,True,1000,0200,True,1000,0200,True
Hnx34LxtfW4XV0gZ18zMBg,REGULAR,1130,0000,False,1130,0000,False,1130,0000,False,1130,0000,False,1130,0030,True,1000,0030,True,1000,0000,False
loRoCo53b30zgHZ_mIMatQ,REGULAR,0500,2200,False,0500,2200,False,0500,2200,False,0500,2200,False,0500,2200,False,0500,2200,False,0600,2100,False
mTyK9-_6CYY6XYAG56c68Q,REGULAR,,,,1100,0200,True,1100,0200,True,1100,0200,True,1100,0200,True,1100,0200,True,1100,1700,False
5EmqULtZ3IFZ3hjxyXna5Q,REGULAR,1700,2300,False,1700,2300,False,1700,2300,False,1700,0000,False,1600,0000,False,1600,0000,False,1600,2300,False
zqTD7GlF7NVhbHaFWkDSgg,REGULAR,1700,0200,True,1700,0200,True,1700,0200,True,1700,0200,True,1700,0200,True,1700,0200,True,1700,0200,True
8I2CBbVJnWS8w8OfkexE8g,REGULAR,1100,0100,True,1100,0100,True,1100,0100,True,1100,0100,True,1100,0100,True,1000,0100,True,1100,0100,True
3KT0PER90UIxVVx9zuzHVA,REGULAR,0700,0200,True,0700,0200,True,0700,0200,True,0700,0200,True,0700,0200,True,0700,0200,True,0700,0200,True
W2YNtO5W_ZK6o-1t8uLcYw,REGULAR,1130,2130,False,1130,2130,False,1130,2130,False,1130,2130,False,1130,2230,False,1200,2230,False,,,
